b3027300|	ADD X7, X6, X5
0704b568|	VLSSEG4E8V (X10), X11, V0, V8
0754b568|	VLSSEG4E16V (X10), X11, V0, V8
0764b568|	VLSSEG4E32V (X10), X11, V0, V8
0774b568|	VLSSEG4E64V (X10), X11, V0, V8
0704b58a|	VLSSEG5E8V (X10), X11, V8
0754b58a|	VLSSEG5E16V (X10), X11, V8
0764b58a|	VLSSEG5E32V (X10), X11, V8
0774b58a|	VLSSEG5E64V (X10), X11, V8
0704b588|	VLSSEG5E8V (X10), X11, V0, V8
0754b588|	VLSSEG5E16V (X10), X11, V0, V8
0764b588|	VLSSEG5E32V (X10), X11, V0, V8
0774b588|	VLSSEG5E64V (X10), X11, V0, V8
0704b5aa|	VLSSEG6E8V (X10), X11, V8
0754b5aa|	VLSSEG6E16V (X10), X11, V8
0764b5aa|	VLSSEG6E32V (X10), X11, V8
0774b5aa|	VLSSEG6E64V (X10), X11, V8
0704b5a8|	VLSSEG6E8V (X10), X11, V0, V8
0754b5a8|	VLSSEG6E16V (X10), X11, V0, V8
0764b5a8|	VLSSEG6E32V (X10), X11, V0, V8
0774b5a8|	VLSSEG6E64V (X10), X11, V0, V8
0704b5ca|	VLSSEG7E8V (X10), X11, V8
0754b5ca|	VLSSEG7E16V (X10), X11, V8
0764b5ca|	VLSSEG7E32V (X10), X11, V8
0774b5ca|	VLSSEG7E64V (X10), X11, V8
0704b5c8|	VLSSEG7E8V (X10), X11, V0, V8
0754b5c8|	VLSSEG7E16V (X10), X11, V0, V8
0764b5c8|	VLSSEG7E32V (X10), X11, V0, V8
0774b5c8|	VLSSEG7E64V (X10), X11, V0, V8
0704b5ea|	VLSSEG8E8V (X10), X11, V8
0754b5ea|	VLSSEG8E16V (X10), X11, V8
0764b5ea|	VLSSEG8E32V (X10), X11, V8
0774b5ea|	VLSSEG8E64V (X10), X11, V8
0704b5e8|	VLSSEG8E8V (X10), X11, V0, V8
0754b5e8|	VLSSEG8E16V (X10), X11, V0, V8
0764b5e8|	VLSSEG8E32V (X10), X11, V0, V8
0774b5e8|	VLSSEG8E64V (X10), X11, V0, V8
270cb52a|	VSSSEG2E8V V24, X11, (X10)
275cb52a|	VSSSEG2E16V V24, X11, (X10)
276cb52a|	VSSSEG2E32V V24, X11, (X10)
277cb52a|	VSSSEG2E64V V24, X11, (X10)
270cb528|	VSSSEG2E8V V24, X11, V0, (X10)
275cb528|	VSSSEG2E16V V24, X11, V0, (X10)
276cb528|	VSSSEG2E32V V24, X11, V0, (X10)
277cb528|	VSSSEG2E64V V24, X11, V0, (X10)
270cb54a|	VSSSEG3E8V V24, X11, (X10)
275cb54a|	VSSSEG3E16V V24, X11, (X10)
276cb54a|	VSSSEG3E32V V24, X11, (X10)
277cb54a|	VSSSEG3E64V V24, X11, (X10)
270cb548|	VSSSEG3E8V V24, X11, V0, (X10)
275cb548|	VSSSEG3E16V V24, X11, V0, (X10)
276cb548|	VSSSEG3E32V V24, X11, V0, (X10)
277cb548|	VSSSEG3E64V V24, X11, V0, (X10)
270cb56a|	VSSSEG4E8V V24, X11, (X10)
275cb56a|	VSSSEG4E16V V24, X11, (X10)
276cb56a|	VSSSEG4E32V V24, X11, (X10)
277cb56a|	VSSSEG4E64V V24, X11, (X10)
270cb568|	VSSSEG4E8V V24, X11, V0, (X10)
275cb568|	VSSSEG4E16V V24, X11, V0, (X10)
276cb568|	VSSSEG4E32V V24, X11, V0, (X10)
277cb568|	VSSSEG4E64V V24, X11, V0, (X10)
270cb58a|	VSSSEG5E8V V24, X11, (X10)
275cb58a|	VSSSEG5E16V V24, X11, (X10)
276cb58a|	VSSSEG5E32V V24, X11, (X10)
277cb58a|	VSSSEG5E64V V24, X11, (X10)
270cb588|	VSSSEG5E8V V24, X11, V0, (X10)
275cb588|	VSSSEG5E16V V24, X11, V0, (X10)
276cb588|	VSSSEG5E32V V24, X11, V0, (X10)
277cb588|	VSSSEG5E64V V24, X11, V0, (X10)
270cb5aa|	VSSSEG6E8V V24, X11, (X10)
275cb5aa|	VSSSEG6E16V V24, X11, (X10)
276cb5aa|	VSSSEG6E32V V24, X11, (X10)
277cb5aa|	VSSSEG6E64V V24, X11, (X10)
270cb5a8|	VSSSEG6E8V V24, X11, V0, (X10)
275cb5a8|	VSSSEG6E16V V24, X11, V0, (X10)
276cb5a8|	VSSSEG6E32V V24, X11, V0, (X10)
277cb5a8|	VSSSEG6E64V V24, X11, V0, (X10)
270cb5ca|	VSSSEG7E8V V24, X11, (X10)
275cb5ca|	VSSSEG7E16V V24, X11, (X10)
276cb5ca|	VSSSEG7E32V V24, X11, (X10)
277cb5ca|	VSSSEG7E64V V24, X11, (X10)
270cb5c8|	VSSSEG7E8V V24, X11, V0, (X10)
275cb5c8|	VSSSEG7E16V V24, X11, V0, (X10)
276cb5c8|	VSSSEG7E32V V24, X11, V0, (X10)
277cb5c8|	VSSSEG7E64V V24, X11, V0, (X10)
270cb5ea|	VSSSEG8E8V V24, X11, (X10)
275cb5ea|	VSSSEG8E16V V24, X11, (X10)
276cb5ea|	VSSSEG8E32V V24, X11, (X10)
277cb5ea|	VSSSEG8E64V V24, X11, (X10)
270cb5e8|	VSSSEG8E8V V24, X11, V0, (X10)
275cb5e8|	VSSSEG8E16V V24, X11, V0, (X10)
276cb5e8|	VSSSEG8E32V V24, X11, V0, (X10)
277cb5e8|	VSSSEG8E64V V24, X11, V0, (X10)

# 31.7.8.3: Vector Indexed Segment Loads and Stores
07044526|	VLUXSEG2EI8V (X10), V4, V8
07544526|	VLUXSEG2EI16V (X10), V4, V8
07644526|	VLUXSEG2EI32V (X10), V4, V8
07744526|	VLUXSEG2EI64V (X10), V4, V8
07044524|	VLUXSEG2EI8V (X10), V4, V0, V8
07544524|	VLUXSEG2EI16V (X10), V4, V0, V8
07644524|	VLUXSEG2EI32V (X10), V4, V0, V8
07744524|	VLUXSEG2EI64V (X10), V4, V0, V8
07044546|	VLUXSEG3EI8V (X10), V4, V8
07544546|	VLUXSEG3EI16V (X10), V4, V8
07644546|	VLUXSEG3EI32V (X10), V4, V8
07744546|	VLUXSEG3EI64V (X10), V4, V8
07044544|	VLUXSEG3EI8V (X10), V4, V0, V8
07544544|	VLUXSEG3EI16V (X10), V4, V0, V8
07644544|	VLUXSEG3EI32V (X10), V4, V0, V8
07744544|	VLUXSEG3EI64V (X10), V4, V0, V8
07044566|	VLUXSEG4EI8V (X10), V4, V8
07544566|	VLUXSEG4EI16V (X10), V4, V8
07644566|	VLUXSEG4EI32V (X10), V4, V8
07744566|	VLUXSEG4EI64V (X10), V4, V8
07044564|	VLUXSEG4EI8V (X10), V4, V0, V8
07544564|	VLUXSEG4EI16V (X10), V4, V0, V8
07644564|	VLUXSEG4EI32V (X10), V4, V0, V8
07744564|	VLUXSEG4EI64V (X10), V4, V0, V8
07044586|	VLUXSEG5EI8V (X10), V4, V8
07544586|	VLUXSEG5EI16V (X10), V4, V8
07644586|	VLUXSEG5EI32V (X10), V4, V8
07744586|	VLUXSEG5EI64V (X10), V4, V8
07044584|	VLUXSEG5EI8V (X10), V4, V0, V8
07544584|	VLUXSEG5EI16V (X10), V4, V0, V8
07644584|	VLUXSEG5EI32V (X10), V4, V0, V8
07744584|	VLUXSEG5EI64V (X10), V4, V0, V8
070445a6|	VLUXSEG6EI8V (X10), V4, V8
075445a6|	VLUXSEG6EI16V (X10), V4, V8
076445a6|	VLUXSEG6EI32V (X10), V4, V8
077445a6|	VLUXSEG6EI64V (X10), V4, V8
070445a4|	VLUXSEG6EI8V (X10), V4, V0, V8
075445a4|	VLUXSEG6EI16V (X10), V4, V0, V8
076445a4|	VLUXSEG6EI32V (X10), V4, V0, V8
077445a4|	VLUXSEG6EI64V (X10), V4, V0, V8
070445ae|	VLOXSEG6EI8V (X10), V4, V8
075445ae|	VLOXSEG6EI16V (X10), V4, V8
076445ae|	VLOXSEG6EI32V (X10), V4, V8
077445ae|	VLOXSEG6EI64V (X10), V4, V8
070445ac|	VLOXSEG6EI8V (X10), V4, V0, V8
075445ac|	VLOXSEG6EI16V (X10), V4, V0, V8
076445ac|	VLOXSEG6EI32V (X10), V4, V0, V8
077445ac|	VLOXSEG6EI64V (X10), V4, V0, V8
070445c6|	VLUXSEG7EI8V (X10), V4, V8
075445c6|	VLUXSEG7EI16V (X10), V4, V8
076445c6|	VLUXSEG7EI32V (X10), V4, V8
077445c6|	VLUXSEG7EI64V (X10), V4, V8
070445c4|	VLUXSEG7EI8V (X10), V4, V0, V8
075445c4|	VLUXSEG7EI16V (X10), V4, V0, V8
076445c4|	VLUXSEG7EI32V (X10), V4, V0, V8
077445c4|	VLUXSEG7EI64V (X10), V4, V0, V8
070445e6|	VLUXSEG8EI8V (X10), V4, V8
075445e6|	VLUXSEG8EI16V (X10), V4, V8
076445e6|	VLUXSEG8EI32V (X10), V4, V8
077445e6|	VLUXSEG8EI64V (X10), V4, V8
070445e4|	VLUXSEG8EI8V (X10), V4, V0, V8
075445e4|	VLUXSEG8EI16V (X10), V4, V0, V8
076445e4|	VLUXSEG8EI32V (X10), V4, V0, V8
077445e4|	VLUXSEG8EI64V (X10), V4, V0, V8
270c4526|	VSUXSEG2EI8V V24, V4, (X10)
275c4526|	VSUXSEG2EI16V V24, V4, (X10)
276c4526|	VSUXSEG2EI32V V24, V4, (X10)
277c4526|	VSUXSEG2EI64V V24, V4, (X10)
270c4524|	VSUXSEG2EI8V V24, V4, V0, (X10)
275c4524|	VSUXSEG2EI16V V24, V4, V0, (X10)
276c4524|	VSUXSEG2EI32V V24, V4, V0, (X10)
277c4524|	VSUXSEG2EI64V V24, V4, V0, (X10)
270c4546|	VSUXSEG3EI8V V24, V4, (X10)
275c4546|	VSUXSEG3EI16V V24, V4, (X10)
276c4546|	VSUXSEG3EI32V V24, V4, (X10)
277c4546|	VSUXSEG3EI64V V24, V4, (X10)
270c4544|	VSUXSEG3EI8V V24, V4, V0, (X10)
275c4544|	VSUXSEG3EI16V V24, V4, V0, (X10)
276c4544|	VSUXSEG3EI32V V24, V4, V0, (X10)
277c4544|	VSUXSEG3EI64V V24, V4, V0, (X10)
270c4566|	VSUXSEG4EI8V V24, V4, (X10)
275c4566|	VSUXSEG4EI16V V24, V4, (X10)
276c4566|	VSUXSEG4EI32V V24, V4, (X10)
277c4566|	VSUXSEG4EI64V V24, V4, (X10)
270c4564|	VSUXSEG4EI8V V24, V4, V0, (X10)
275c4564|	VSUXSEG4EI16V V24, V4, V0, (X10)
276c4564|	VSUXSEG4EI32V V24, V4, V0, (X10)
277c4564|	VSUXSEG4EI64V V24, V4, V0, (X10)
270c4586|	VSUXSEG5EI8V V24, V4, (X10)
275c4586|	VSUXSEG5EI16V V24, V4, (X10)
276c4586|	VSUXSEG5EI32V V24, V4, (X10)
277c4586|	VSUXSEG5EI64V V24, V4, (X10)
270c4584|	VSUXSEG5EI8V V24, V4, V0, (X10)
275c4584|	VSUXSEG5EI16V V24, V4, V0, (X10)
276c4584|	VSUXSEG5EI32V V24, V4, V0, (X10)
277c4584|	VSUXSEG5EI64V V24, V4, V0, (X10)
270c45a6|	VSUXSEG6EI8V V24, V4, (X10)
275c45a6|	VSUXSEG6EI16V V24, V4, (X10)
276c45a6|	VSUXSEG6EI32V V24, V4, (X10)
277c45a6|	VSUXSEG6EI64V V24, V4, (X10)
270c45a4|	VSUXSEG6EI8V V24, V4, V0, (X10)
275c45a4|	VSUXSEG6EI16V V24, V4, V0, (X10)
276c45a4|	VSUXSEG6EI32V V24, V4, V0, (X10)
277c45a4|	VSUXSEG6EI64V V24, V4, V0, (X10)
270c45c6|	VSUXSEG7EI8V V24, V4, (X10)
275c45c6|	VSUXSEG7EI16V V24, V4, (X10)
276c45c6|	VSUXSEG7EI32V V24, V4, (X10)
277c45c6|	VSUXSEG7EI64V V24, V4, (X10)
270c45c4|	VSUXSEG7EI8V V24, V4, V0, (X10)
275c45c4|	VSUXSEG7EI16V V24, V4, V0, (X10)
276c45c4|	VSUXSEG7EI32V V24, V4, V0, (X10)
277c45c4|	VSUXSEG7EI64V V24, V4, V0, (X10)
270c45e6|	VSUXSEG8EI8V V24, V4, (X10)
275c45e6|	VSUXSEG8EI16V V24, V4, (X10)
276c45e6|	VSUXSEG8EI32V V24, V4, (X10)
277c45e6|	VSUXSEG8EI64V V24, V4, (X10)
270c45e4|	VSUXSEG8EI8V V24, V4, V0, (X10)
275c45e4|	VSUXSEG8EI16V V24, V4, V0, (X10)
276c45e4|	VSUXSEG8EI32V V24, V4, V0, (X10)
277c45e4|	VSUXSEG8EI64V V24, V4, V0, (X10)
0704452e|	VLOXSEG2EI8V (X10), V4, V8
0754452e|	VLOXSEG2EI16V (X10), V4, V8
0764452e|	VLOXSEG2EI32V (X10), V4, V8
0774452e|	VLOXSEG2EI64V (X10), V4, V8
0704452c|	VLOXSEG2EI8V (X10), V4, V0, V8
0754452c|	VLOXSEG2EI16V (X10), V4, V0, V8
0764452c|	VLOXSEG2EI32V (X10), V4, V0, V8
0774452c|	VLOXSEG2EI64V (X10), V4, V0, V8
0704454e|	VLOXSEG3EI8V (X10), V4, V8
0754454e|	VLOXSEG3EI16V (X10), V4, V8
0764454e|	VLOXSEG3EI32V (X10), V4, V8
0774454e|	VLOXSEG3EI64V (X10), V4, V8
0704454c|	VLOXSEG3EI8V (X10), V4, V0, V8
0754454c|	VLOXSEG3EI16V (X10), V4, V0, V8
0764454c|	VLOXSEG3EI32V (X10), V4, V0, V8
0774454c|	VLOXSEG3EI64V (X10), V4, V0, V8
0704456e|	VLOXSEG4EI8V (X10), V4, V8
0754456e|	VLOXSEG4EI16V (X10), V4, V8
0764456e|	VLOXSEG4EI32V (X10), V4, V8
0774456e|	VLOXSEG4EI64V (X10), V4, V8
0704456c|	VLOXSEG4EI8V (X10), V4, V0, V8
0754456c|	VLOXSEG4EI16V (X10), V4, V0, V8
0764456c|	VLOXSEG4EI32V (X10), V4, V0, V8
0774456c|	VLOXSEG4EI64V (X10), V4, V0, V8
0704458e|	VLOXSEG5EI8V (X10), V4, V8
0754458e|	VLOXSEG5EI16V (X10), V4, V8
0764458e|	VLOXSEG5EI32V (X10), V4, V8
0774458e|	VLOXSEG5EI64V (X10), V4, V8
0704458c|	VLOXSEG5EI8V (X10), V4, V0, V8
0754458c|	VLOXSEG5EI16V (X10), V4, V0, V8
0764458c|	VLOXSEG5EI32V (X10), V4, V0, V8
0774458c|	VLOXSEG5EI64V (X10), V4, V0, V8
070445ce|	VLOXSEG7EI8V (X10), V4, V8
075445ce|	VLOXSEG7EI16V (X10), V4, V8
076445ce|	VLOXSEG7EI32V (X10), V4, V8
077445ce|	VLOXSEG7EI64V (X10), V4, V8
070445cc|	VLOXSEG7EI8V (X10), V4, V0, V8
075445cc|	VLOXSEG7EI16V (X10), V4, V0, V8
076445cc|	VLOXSEG7EI32V (X10), V4, V0, V8
077445cc|	VLOXSEG7EI64V (X10), V4, V0, V8
070445ee|	VLOXSEG8EI8V (X10), V4, V8
075445ee|	VLOXSEG8EI16V (X10), V4, V8
076445ee|	VLOXSEG8EI32V (X10), V4, V8
077445ee|	VLOXSEG8EI64V (X10), V4, V8
070445ec|	VLOXSEG8EI8V (X10), V4, V0, V8
075445ec|	VLOXSEG8EI16V (X10), V4, V0, V8
076445ec|	VLOXSEG8EI32V (X10), V4, V0, V8
077445ec|	VLOXSEG8EI64V (X10), V4, V0, V8
270c452e|	VSOXSEG2EI8V V24, V4, (X10)
275c452e|	VSOXSEG2EI16V V24, V4, (X10)
276c452e|	VSOXSEG2EI32V V24, V4, (X10)
277c452e|	VSOXSEG2EI64V V24, V4, (X10)
270c452c|	VSOXSEG2EI8V V24, V4, V0, (X10)
275c452c|	VSOXSEG2EI16V V24, V4, V0, (X10)
276c452c|	VSOXSEG2EI32V V24, V4, V0, (X10)
277c452c|	VSOXSEG2EI64V V24, V4, V0, (X10)
270c454e|	VSOXSEG3EI8V V24, V4, (X10)
275c454e|	VSOXSEG3EI16V V24, V4, (X10)
276c454e|	VSOXSEG3EI32V V24, V4, (X10)
277c454e|	VSOXSEG3EI64V V24, V4, (X10)
270c454c|	VSOXSEG3EI8V V24, V4, V0, (X10)
275c454c|	VSOXSEG3EI16V V24, V4, V0, (X10)
276c454c|	VSOXSEG3EI32V V24, V4, V0, (X10)
277c454c|	VSOXSEG3EI64V V24, V4, V0, (X10)
270c456e|	VSOXSEG4EI8V V24, V4, (X10)
275c456e|	VSOXSEG4EI16V V24, V4, (X10)
276c456e|	VSOXSEG4EI32V V24, V4, (X10)
277c456e|	VSOXSEG4EI64V V24, V4, (X10)
270c456c|	VSOXSEG4EI8V V24, V4, V0, (X10)
275c456c|	VSOXSEG4EI16V V24, V4, V0, (X10)
276c456c|	VSOXSEG4EI32V V24, V4, V0, (X10)
277c456c|	VSOXSEG4EI64V V24, V4, V0, (X10)
270c458e|	VSOXSEG5EI8V V24, V4, (X10)
275c458e|	VSOXSEG5EI16V V24, V4, (X10)
276c458e|	VSOXSEG5EI32V V24, V4, (X10)
277c458e|	VSOXSEG5EI64V V24, V4, (X10)
270c458c|	VSOXSEG5EI8V V24, V4, V0, (X10)
275c458c|	VSOXSEG5EI16V V24, V4, V0, (X10)
276c458c|	VSOXSEG5EI32V V24, V4, V0, (X10)
277c458c|	VSOXSEG5EI64V V24, V4, V0, (X10)
270c45ae|	VSOXSEG6EI8V V24, V4, (X10)
275c45ae|	VSOXSEG6EI16V V24, V4, (X10)
276c45ae|	VSOXSEG6EI32V V24, V4, (X10)
277c45ae|	VSOXSEG6EI64V V24, V4, (X10)
270c45ac|	VSOXSEG6EI8V V24, V4, V0, (X10)
275c45ac|	VSOXSEG6EI16V V24, V4, V0, (X10)
276c45ac|	VSOXSEG6EI32V V24, V4, V0, (X10)
277c45ac|	VSOXSEG6EI64V V24, V4, V0, (X10)
270c45ce|	VSOXSEG7EI8V V24, V4, (X10)
275c45ce|	VSOXSEG7EI16V V24, V4, (X10)
276c45ce|	VSOXSEG7EI32V V24, V4, (X10)
277c45ce|	VSOXSEG7EI64V V24, V4, (X10)
270c45cc|	VSOXSEG7EI8V V24, V4, V0, (X10)
275c45cc|	VSOXSEG7EI16V V24, V4, V0, (X10)
276c45cc|	VSOXSEG7EI32V V24, V4, V0, (X10)
277c45cc|	VSOXSEG7EI64V V24, V4, V0, (X10)
270c45ee|	VSOXSEG8EI8V V24, V4, (X10)
275c45ee|	VSOXSEG8EI16V V24, V4, (X10)
276c45ee|	VSOXSEG8EI32V V24, V4, (X10)
277c45ee|	VSOXSEG8EI64V V24, V4, (X10)
270c45ec|	VSOXSEG8EI8V V24, V4, V0, (X10)
275c45ec|	VSOXSEG8EI16V V24, V4, V0, (X10)
276c45ec|	VSOXSEG8EI32V V24, V4, V0, (X10)
277c45ec|	VSOXSEG8EI64V V24, V4, V0, (X10)


# 31.7.9: Vector Load/Store Whole Register Instructions
87018502|	VL1RV (X10), V3
87518502|	VL1RE16V (X10), V3
87618502|	VL1RE32V (X10), V3
87718502|	VL1RE64V (X10), V3
07018522|	VL2RV (X10), V2
07518522|	VL2RE16V (X10), V2
07618522|	VL2RE32V (X10), V2
07718522|	VL2RE64V (X10), V2
07028562|	VL4RV (X10), V4
07528562|	VL4RE16V (X10), V4
07628562|	VL4RE32V (X10), V4
07728562|	VL4RE64V (X10), V4
070485e2|	VL8RV (X10), V8
075485e2|	VL8RE16V (X10), V8
076485e2|	VL8RE32V (X10), V8
077485e2|	VL8RE64V (X10), V8
a7818502|	VS1RV V3, (X11)
27818522|	VS2RV V2, (X11)
27828562|	VS4RV V4, (X11)
278485e2|	VS8RV V8, (X11)

# 31.11.1: Vector Single-Width Integer Add and Subtract
d7812002|	VADDVV V1, V2, V3
d7812000|	VADDVV V1, V2, V0, V3
d7412502|	VADDVX X10, V2, V3
d7412500|	VADDVX X10, V2, V0, V3
d7b12702|	VADDVI $15, V2, V3
d7b12700|	VADDVI $15, V2, V0, V3
d7312802|	VADDVI $-16, V2, V3
d7312800|	VADDVI $-16, V2, V0, V3
d781200a|	VSUBVV V1, V2, V3
d7812008|	VSUBVV V1, V2, V0, V3
d741250a|	VSUBVX X10, V2, V3
d7412508|	VSUBVX X10, V2, V0, V3
d741250e|	VRSUBVX X10, V2, V3
d741250c|	VRSUBVX X10, V2, V0, V3
d7b1270c|	VRSUBVI $15, V2, V0, V3
d731280c|	VRSUBVI $-16, V2, V0, V3
d741200e|	VNEGV V2, V3
d741200c|	VNEGV V2, V0, V3

# 31.11.2: Vector Widening Integer Add/Subtract
d7a120c2|	VWADDUVV V1, V2, V3
d7a120c0|	VWADDUVV V1, V2, V0, V3
d76125c2|	VWADDUVX X10, V2, V3
d76125c0|	VWADDUVX X10, V2, V0, V3
d7a120ca|	VWSUBUVV V1, V2, V3
d7a120c8|	VWSUBUVV V1, V2, V0, V3
d76125ca|	VWSUBUVX X10, V2, V3
d76125c8|	VWSUBUVX X10, V2, V0, V3
d7a120c6|	VWADDVV V1, V2, V3
d7a120c4|	VWADDVV V1, V2, V0, V3
d76125c6|	VWADDVX X10, V2, V3
d76125c4|	VWADDVX X10, V2, V0, V3
d7a120ce|	VWSUBVV V1, V2, V3
d7a120cc|	VWSUBVV V1, V2, V0, V3
d76125ce|	VWSUBVX X10, V2, V3
d76125cc|	VWSUBVX X10, V2, V0, V3
d7a120d2|	VWADDUWV V1, V2, V3
d7a120d0|	VWADDUWV V1, V2, V0, V3
d76125d2|	VWADDUWX X10, V2, V3
d76125d0|	VWADDUWX X10, V2, V0, V3
d7a120da|	VWSUBUWV V1, V2, V3
d7a120d8|	VWSUBUWV V1, V2, V0, V3
d76125da|	VWSUBUWX X10, V2, V3
d76125d8|	VWSUBUWX X10, V2, V0, V3
d7a120d6|	VWADDWV V1, V2, V3
d7a120d4|	VWADDWV V1, V2, V0, V3
d76125d6|	VWADDWX X10, V2, V3
d76125d4|	VWADDWX X10, V2, V0, V3
d7a120de|	VWSUBWV V1, V2, V3
d7a120dc|	VWSUBWV V1, V2, V0, V3
d76125de|	VWSUBWX X10, V2, V3
d76125dc|	VWSUBWX X10, V2, V0, V3
d76120c6|	VWCVTXXV V2, V3
d76120c4|	VWCVTXXV V2, V0, V3
d76120c2|	VWCVTUXXV V2, V3
d76120c0|	VWCVTUXXV V2, V0, V3

# 31.11.3: Vector Integer Extension
d721234a|	VZEXTVF2 V2, V3
d7212348|	VZEXTVF2 V2, V0, V3
d7a1234a|	VSEXTVF2 V2, V3
d7a12348|	VSEXTVF2 V2, V0, V3
d721224a|	VZEXTVF4 V2, V3
d7212248|	VZEXTVF4 V2, V0, V3
d7a1224a|	VSEXTVF4 V2, V3
d7a12248|	VSEXTVF4 V2, V0, V3
d721214a|	VZEXTVF8 V2, V3
d7212148|	VZEXTVF8 V2, V0, V3
d7a1214a|	VSEXTVF8 V2, V3
d7a12148|	VSEXTVF8 V2, V0, V3

# 31.11.4: Vector Integer Add-with-Carry / Subtract-with-Borrow Instructions
d7812040|	VADCVVM V1, V2, V0, V3
d7c12540|	VADCVXM X11, V2, V0, V3
d7b12740|	VADCVIM $15, V2, V0, V3
d7812044|	VMADCVVM V1, V2, V0, V3
d7c12544|	VMADCVXM X11, V2, V0, V3
d7b12744|	VMADCVIM $15, V2, V0, V3
d7812046|	VMADCVV V1, V2, V3
d7c12546|	VMADCVX X11, V2, V3
d7b12746|	VMADCVI $15, V2, V3
d7812048|	VSBCVVM V1, V2, V0, V3
d7c12548|	VSBCVXM X11, V2, V0, V3
d781204c|	VMSBCVVM V1, V2, V0, V3
d7c1254c|	VMSBCVXM X11, V2, V0, V3
d781204e|	VMSBCVV V1, V2, V3
d7c1254e|	VMSBCVX X11, V2, V3

# 31.11.5: Vector Bitwise Logical Instructions
d7812026|	VANDVV V1, V2, V3
d7812024|	VANDVV V1, V2, V0, V3
d7c12526|	VANDVX X11, V2, V3
d7c12524|	VANDVX X11, V2, V0, V3
d7b12726|	VANDVI $15, V2, V3
d7b12724|	VANDVI $15, V2, V0, V3
d781202a|	VORVV V1, V2, V3
d7812028|	VORVV V1, V2, V0, V3
d7c1252a|	VORVX X11, V2, V3
d7c12528|	VORVX X11, V2, V0, V3
d7b1272a|	VORVI $15, V2, V3
d7b12728|	VORVI $15, V2, V0, V3
d781202e|	VXORVV V1, V2, V3
d781202c|	VXORVV V1, V2, V0, V3
d7c1252e|	VXORVX X11, V2, V3
d7c1252c|	VXORVX X11, V2, V0, V3
d7b1272e|	VXORVI $15, V2, V3
d7b1272c|	VXORVI $15, V2, V0, V3
d7b12f2e|	VNOTV V2, V3
d7b12f2c|	VNOTV V2, V0, V3

# 31.11.6: Vector Single-Width Shift Instructions
d7812096|	VSLLVV V1, V2, V3
d7812094|	VSLLVV V1, V2, V0, V3
d7c12596|	VSLLVX X11, V2, V3
d7c12594|	VSLLVX X11, V2, V0, V3
d7b12796|	VSLLVI $15, V2, V3
d7b12794|	VSLLVI $15, V2, V0, V3
d78120a2|	VSRLVV V1, V2, V3
d78120a0|	VSRLVV V1, V2, V0, V3
d7c125a2|	VSRLVX X11, V2, V3
d7c125a0|	VSRLVX X11, V2, V0, V3
d7b127a2|	VSRLVI $15, V2, V3
d7b127a0|	VSRLVI $15, V2, V0, V3
d78120a6|	VSRAVV V1, V2, V3
d78120a4|	VSRAVV V1, V2, V0, V3
d7c125a6|	VSRAVX X11, V2, V3
d7c125a4|	VSRAVX X11, V2, V0, V3
d7b127a6|	VSRAVI $15, V2, V3
d7b127a4|	VSRAVI $15, V2, V0, V3

# 31.11.7: Vector Narrowing Integer Right Shift Instructions
d78120b2|	VNSRLWV V1, V2, V3
d78120b0|	VNSRLWV V1, V2, V0, V3
d74125b2|	VNSRLWX X10, V2, V3
d74125b0|	VNSRLWX X10, V2, V0, V3
d7b12fb2|	VNSRLWI $31, V2, V3
d7b12fb0|	VNSRLWI $31, V2, V0, V3
d78120b6|	VNSRAWV V1, V2, V3
d78120b4|	VNSRAWV V1, V2, V0, V3
d74125b6|	VNSRAWX X10, V2, V3
d74125b4|	VNSRAWX X10, V2, V0, V3
d7b12fb6|	VNSRAWI $31, V2, V3
d7b12fb4|	VNSRAWI $31, V2, V0, V3
d74120b2|	VNCVTXXW V2, V3
d74120b0|	VNCVTXXW V2, V0, V3

# 31.11.8: Vector Integer Compare Instructions
d7812062|	VMSEQVV V1, V2, V3
d7812060|	VMSEQVV V1, V2, V0, V3
d7412562|	VMSEQVX X10, V2, V3
d7412560|	VMSEQVX X10, V2, V0, V3
d7b12762|	VMSEQVI $15, V2, V3
d7b12760|	VMSEQVI $15, V2, V0, V3
d7812066|	VMSNEVV V1, V2, V3
d7812064|	VMSNEVV V1, V2, V0, V3
d7412566|	VMSNEVX X10, V2, V3
d7412564|	VMSNEVX X10, V2, V0, V3
d7b12766|	VMSNEVI $15, V2, V3
d7b12764|	VMSNEVI $15, V2, V0, V3
d781206a|	VMSLTUVV V1, V2, V3
d7812068|	VMSLTUVV V1, V2, V0, V3
d741256a|	VMSLTUVX X10, V2, V3
d7412568|	VMSLTUVX X10, V2, V0, V3
d781206e|	VMSLTVV V1, V2, V3
d781206c|	VMSLTVV V1, V2, V0, V3
d741256e|	VMSLTVX X10, V2, V3
d741256c|	VMSLTVX X10, V2, V0, V3
d7812072|	VMSLEUVV V1, V2, V3
d7812070|	VMSLEUVV V1, V2, V0, V3
d7412572|	VMSLEUVX X10, V2, V3
d7412570|	VMSLEUVX X10, V2, V0, V3
d7b12772|	VMSLEUVI $15, V2, V3
d7b12770|	VMSLEUVI $15, V2, V0, V3
d7812076|	VMSLEVV V1, V2, V3
d7812074|	VMSLEVV V1, V2, V0, V3
d7412576|	VMSLEVX X10, V2, V3
d7412574|	VMSLEVX X10, V2, V0, V3
